original_text,en_token_1,auto_pos_1,gold_pos_1,en_token_2,auto_pos_2,gold_pos_2,en_token_3,auto_pos_3,gold_pos_3,en_token_4,auto_pos_4,gold_pos_4,en_token_5,auto_pos_5,gold_pos_5,en_token_6,auto_pos_6,gold_pos_6,en_token_7,auto_pos_7,gold_pos_7,en_token_8,auto_pos_8,gold_pos_8,en_token_9,auto_pos_9,gold_pos_9,en_token_10,auto_pos_10,gold_pos_10,en_token_11,auto_pos_11,gold_pos_11,en_token_12,auto_pos_12,gold_pos_12,en_token_13,auto_pos_13,gold_pos_13,en_token_14,auto_pos_14,gold_pos_14,en_token_15,auto_pos_15,gold_pos_15
因乜解救要成日post佢上連登呢？,post,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
搵林律師claim爆你每架連機師補品賠10億美金！,claim,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美帝好似以前打final fantasy 咁,final,PROPN,,fantasy,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
最仆街開親麥記App幾個banner都見到佢,App,PROPN,,banner,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
如果係 Tesla 一定即時火葬,Tesla,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
如果可以俾你重新投胎 你會揀做Donald Trump定係Elon Musk?,Donald,PROPN,,Trump,PROPN,,Elon,PROPN,,Musk,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
你係現實版嘅Iron Man,Iron,PROPN,,Man,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
見成日有人問，試下SUMMARIZE 下,SUMMARIZE,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我bookmark左依間啦生日正日去食,bookmark,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
最後酒店upgrade左我地+4晚酒店錢都free,upgrade,ADJ,,free,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大把香港人喺尖沙咀呢啲地方，人多到講借借excuse me都冇用,excuse,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仲cut 埋東北/長野新潟pass 焗你上全東日本pass,cut,VERB,,pass,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
btw 成個塗裝好似大雜燴咁,btw,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其實他可以先飛南方再deal with BA staff要求賠償嘛，很多時候都可以事後得到賠償的,BA,PROPN,,staff,PROPN,,deal,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
罵地勤根本沒有用，因為要因應different offers 而擬定不同賠償，當時根本不可能,different,NOUN,,offers,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大日子會repost story加上黃藍都用到嘅字句,story,PROPN,,repost,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我噚日去咗个party，超high。,party,NOUN,,high,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
你喺度做緊乜？點解唔call我？,call,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢個app真係好chur，仲要register。,app,NOUN,,chur,NOUN,,register,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我哋今日要plan一下,plan,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
明明第一個map好地地,map,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
尾果句夠 第一句可以delete,delete,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
亂食嘢食煙飲酒生cancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
無限 parts 同技術，由軸心國盟友供應,parts,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其實想一個球員keep到幾多年,keep,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我心諗你嗰隻係apple watch 點打開,apple,PROPN,,watch,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
